,tempogram_x256,tempogram_y256,tempogram_z320,tempogram_y320,tempogram_x320,tempogram_z319,tempogram_y318,tempogram_z318,tempogram_x319,tempogram_y319,tempogram_z255
67,0.0984645209333121,0.0184681902019668,3.6156660445540525e-11,3.7639601491646726e-10,1.6707923337347e-09,5.0010444590138795e-09,7.582831962923555e-08,4.4670194971917054e-08,2.4310070961470916e-08,1.1891300464630551e-08,0.3877504329865214
68,0.9198808060721334,0.92259988436508,1.1850938649886135e-09,1.2565095085636876e-08,5.741992191818758e-08,1.781239981221224e-07,3.275921919767695e-06,1.8331193527885563e-06,9.480777691797158e-07,4.419517833815663e-07,0.9433309529331918
69,0.7549341928041582,0.7321553368366135,1.0109338861268371e-09,1.0528778891054977e-08,4.74925274702745e-08,1.4891164699671652e-07,3.0997693090883865e-06,1.6883866256019413e-06,8.451518010523448e-07,3.803798587944112e-07,0.8501886836562517
70,0.527420539479058,0.4799208037865112,1.9958164789066507e-09,2.088027894238123e-08,9.349122868729743e-08,2.8306946901631485e-07,4.54327044459869e-06,2.636695047285846e-06,1.4140272227141229e-06,6.81976791605145e-07,0.6645923040326978
71,0.5920577761019608,0.5349442646033861,1.98506140408374e-09,2.0840474250605387e-08,9.38233821302522e-08,2.857841638205275e-07,4.672918499867867e-06,2.7022030002589994e-06,1.4430372738855666e-06,6.924923570160636e-07,0.7139459363373303
72,0.5794979541551023,0.5733321545200213,2.152603624200193e-09,2.2337077982636253e-08,9.881285847000125e-08,2.957331364892146e-07,4.623718975613755e-06,2.693323876110236e-06,1.4522262591428645e-06,7.056323938272532e-07,0.6836443479536934
73,0.4688684203204035,0.4313696698403668,1.8932431193162176e-09,1.976093897769137e-08,8.81967168774192e-08,2.663504913246021e-07,4.2579235346652575e-06,2.47301174624664e-06,1.3272516551993588e-06,6.407258696308894e-07,0.6127600238114376
74,0.4434515769939616,0.4301902342945091,2.034282171815989e-09,2.1075192386258353e-08,9.304745237958525e-08,2.780678372963268e-07,4.3187060927521664e-06,2.521409797637063e-06,1.3619909308174929e-06,6.62697794767029e-07,0.5740758677553864
75,0.2657267324898543,0.2040766584264451,1.3544860910937903e-09,1.414052979660896e-08,6.306188485590747e-08,1.8985303433162067e-07,2.96130718844189e-06,1.731638968640779e-06,9.355381217202494e-07,4.544067160365296e-07,0.494110565864378
76,0.8431854608804721,0.852771495831279,1.5694078362016894e-09,1.6430684223657172e-08,7.347293872021606e-08,2.2161051855581165e-07,3.5870911604750343e-06,2.066328923465489e-06,1.103704653980127e-06,5.322298451995151e-07,0.8939021070597719
77,0.5339640490214191,0.5098940287951573,2.0628914516772722e-09,2.146689796756178e-08,9.541050504817445e-08,2.870805217778892e-07,4.557888916334397e-06,2.648604687499442e-06,1.423281466409324e-06,6.885378914379002e-07,0.6498769340368533
78,0.3907342399580576,0.3477992012776691,1.8629443804526707e-09,1.9445811196963744e-08,8.67065429916623e-08,2.610703362344075e-07,4.092052181948778e-06,2.388233598663684e-06,1.2883699849592877e-06,6.251736354714276e-07,0.5755069813394162
79,0.4534684264184765,0.4143289984552237,2.039599542930749e-09,2.1225886513019015e-08,9.42812883610471e-08,2.8307968333058984e-07,4.415140543812589e-06,2.578152159754423e-06,1.3921695504907523e-06,6.765204896119591e-07,0.6048624017307107
80,0.4438462096902018,0.412032499450784,1.8015465501034854e-09,1.86894094931484e-08,8.278940575772861e-08,2.487529815578017e-07,3.957451682515469e-06,2.298635994559649e-06,1.2342671621719732e-06,5.966550962812644e-07,0.559280784217549
81,0.0201633911880794,0.0019334600231569,5.626775296763274e-18,6.16193885554969e-18,2.501129825674524e-18,3.9545667606673895e-18,5.666873704044814e-18,2.6217266689999045e-18,-6.672166081066103e-18,-9.587215181574946e-18,0.1682086280580734
82,0.4760220582438264,0.445113431410193,1.9782665232126395e-09,2.0620695515010344e-08,9.183200855944229e-08,2.766099588653855e-07,4.3834007638451125e-06,2.5498552008246027e-06,1.3712455837477083e-06,6.63590314327826e-07,0.618048976687909
83,0.5536342181957422,0.5386190344498444,2.086169776477122e-09,2.16621775244287e-08,9.600761285809365e-08,2.88279302506201e-07,4.5729974279573405e-06,2.655964964730873e-06,1.426979331669046e-06,6.905931031303651e-07,0.6548349278814513
84,0.631292448249297,0.6080947551505681,2.098637683045147e-09,2.1916103393057062e-08,9.77878537825502e-08,2.947367704365012e-07,4.662582086513114e-06,2.711798215114639e-06,1.4590853752108552e-06,7.067081182895572e-07,0.7413033535006729
85,0.7214561108409379,0.7157909363076685,2.0255860368009927e-09,2.105368757130157e-08,9.338860367907148e-08,2.804589916435839e-07,4.458300088040426e-06,2.5853573963259403e-06,1.3880933653852876e-06,6.717521478060897e-07,0.788690237423977
86,0.7674887852424518,0.7671207279903861,1.9326859043983648e-09,2.0066461563380705e-08,8.889795044791242e-08,2.6684152279560337e-07,4.267310189280015e-06,2.4687956196603163e-06,1.322953993761652e-06,6.394051026023274e-07,0.8196132836841997
87,0.8693596124711441,0.8673950295082303,1.5346953119816124e-09,1.6033186373916903e-08,7.161814824041347e-08,2.1644819856060474e-07,3.5394634517689427e-06,2.035291199838848e-06,1.0846296646375475e-06,5.215052533644689e-07,0.9054968639105953
88,0.6282321126709919,0.6307891885103246,2.142446951448745e-09,2.2198986254796445e-08,9.801654340500075e-08,2.930087308840276e-07,4.59347302719223e-06,2.67203555063608e-06,1.4392603284825674e-06,6.989712446541794e-07,0.7134640422369746
89,0.6064826497529584,0.6135969042173971,2.1440133231616942e-09,2.214707042948449e-08,9.744158538102885e-08,2.9076204566319265e-07,4.571934420987126e-06,2.656055759655126e-06,1.4289125892636365e-06,6.934223743047912e-07,0.6804033140853907
90,0.5305932045046968,0.4957873581098014,1.9305114848187574e-09,2.02001563319684e-08,9.048668257982463e-08,2.742857010230764e-07,4.447977759234841e-06,2.5745766471206696e-06,1.376827544832344e-06,6.62233501777739e-07,0.6613283380146663
91,0.5570518765105805,0.527727147178212,2.1203425432205606e-09,2.2107937590275968e-08,9.845281606604173e-08,2.963508071695374e-07,4.667576724065979e-06,2.7189332522676872e-06,1.4646712855432076e-06,7.100231660374751e-07,0.6824271142079609
